python3 featureextract.py 
{'slip': 0.005538357795998372, 'pose': (0.7731098776946695, 0.752162643897977)}
{'slip': 0.004555676080422233, 'pose': (0.7142758144291097, 0.7445328672943601)}
{'slip': 0.0032166672246469186, 'pose': (0.6558937765719942, 0.7370959622443571)}
{'slip': 0.007026715486358359, 'pose': (0.5971490954141722, 0.7296418120219108)}
{'slip': 0.002584348020270022, 'pose': (0.5385820796483598, 0.7221853841549426)}
{'slip': 0.0063792229412622525, 'pose': (0.48007513016518366, 0.7149126255395665)}
{'slip': 0.0038149376401084845, 'pose': (0.4212675786037632, 0.707456559262364)}
{'slip': 0.003834731909230338, 'pose': (0.36287427707470227, 0.700249246748952)}
{'slip': 0.006409191830635708, 'pose': (0.3040539227398178, 0.6929290551820334)}
{'slip': 0.0025949426504872086, 'pose': (0.24553684229914793, 0.685659488511452)}
{'slip': 0.028121241828822918, 'pose': (0.18901189774257887, 0.6786903309023653)}
{'slip': 0.009087442730590034, 'pose': (0.13278885148537695, 0.6718619642515485)}
{'slip': 0.015366635309905397, 'pose': (0.0756183158107998, 0.6656603345834715)}
{'slip': 0.020114198529839922, 'pose': (0.028609361225752448, 0.6612872891680052)}
{'slip': 0.025272944779945294, 'pose': (-0.0357292015160408, 0.6559226245139995)}
{'slip': 0.031010098487262383, 'pose': (-0.09015381313997296, 0.6511718496030301)}
{'slip': 0.03313722666171948, 'pose': (-0.14380496861702513, 0.6459796786882394)}
{'slip': 0.03768108243930296, 'pose': (-0.19663020867775508, 0.6405727712410622)}
{'slip': 0.04166132291272007, 'pose': (-0.24890505872801522, 0.634669750930362)}
{'slip': 0.04312440368369308, 'pose': (-0.30040740335496496, 0.6286274873677666)}
{'slip': 0.04797578223915011, 'pose': (-0.35127533990391785, 0.6222479298325974)}
{'slip': 0.05036468510212588, 'pose': (-0.40165833929376665, 0.615609100557793)}
{'slip': 0.051954055574594454, 'pose': (-0.4513009666723809, 0.6087674671312251)}
{'slip': 0.05658908584313291, 'pose': (-0.5004620627115812, 0.601772518079466)}
{'slip': 0.05799914318379393, 'pose': (-0.549158637678265, 0.5944083724092841)}
{'slip': 0.05952153953023348, 'pose': (-0.5972013399067412, 0.5870870628298482)}
{'slip': 0.06384243729098377, 'pose': (-0.6448410453978147, 0.5794309627194382)}
{'slip': 0.06482813636790735, 'pose': (-0.6920861124997426, 0.5716592120530576)}
{'slip': 0.06586878701606952, 'pose': (-0.7387318307786952, 0.5637530806285233)}
{'slip': 0.07005262315110636, 'pose': (-0.7850307801893879, 0.5557798969994842)}
{'slip': 0.0710566223579098, 'pose': (-0.8309995732690418, 0.5475065508787134)}
{'slip': 0.07136838794725814, 'pose': (-0.8764504558968179, 0.5393313309381604)}
{'slip': 0.07484247756553872, 'pose': (-0.9215524383492131, 0.5309815607355253)}
{'slip': 0.07699097328038032, 'pose': (-0.9664284525456117, 0.5225189606660748)}
{'slip': 0.07604511570920061, 'pose': (-1.0108728859840157, 0.5140459613974694)}
{'slip': 0.07853405451921458, 'pose': (-1.0549482449061864, 0.5055853432321884)}
{'slip': 0.08153242993071519, 'pose': (-1.0988606680131114, 0.4970792612290247)}
{'slip': 0.08132679130866574, 'pose': (-1.1424981312008444, 0.48848628065358757)}
{'slip': 0.08106204598902908, 'pose': (-1.1858036832316499, 0.48014165842730094)}
{'slip': 0.21468893522591959, 'pose': (-1.2217656717045022, 0.47314544446317963)}
{'slip': 0.19991651280097458, 'pose': (-1.2698953461252505, 0.4637521634723772)}
{'slip': 0.18123649722805707, 'pose': (-1.308097477069814, 0.45622795878452543)}
{'slip': 0.15420801529180478, 'pose': (-1.3418499190848905, 0.45036934148303537)}
{'slip': 0.13675482706321282, 'pose': (-1.3710832786896008, 0.4461519059337045)}
{'slip': 0.12754850655227526, 'pose': (-1.3978629432520615, 0.44250861039507794)}
{'slip': 0.10921736982063032, 'pose': (-1.4220731819360464, 0.4397375115830857)}
{'slip': 0.09091310848304958, 'pose': (-1.4424091932963372, 0.4384711358295882)}
{'slip': 0.08415475413398822, 'pose': (-1.4602302064054442, 0.43810887927774034)}
{'slip': 0.07580141083552512, 'pose': (-1.4767837389391174, 0.4382825187362121)}
{'slip': 0.06181114619619714, 'pose': (-1.4886035822143893, 0.43914520438080157)}
{'slip': 0.05062346017099637, 'pose': (-1.5017060521066492, 0.4414460723230887)}
{'slip': 0.24817700350904118, 'pose': (-1.5119587932734568, 0.44407030529830605)}
{'slip': 0.2359945552093024, 'pose': (-1.5233240754315278, 0.4470931086389493)}
{'slip': 0.22773259894342773, 'pose': (-1.5371019768603853, 0.45021090784667234)}
{'slip': 0.2146107191700446, 'pose': (-1.552602460979612, 0.4534110639414054)}
{'slip': 0.20896235480211914, 'pose': (-1.5700303836153136, 0.4566572941543011)}
{'slip': 0.19838985213481214, 'pose': (-1.5892139175949618, 0.45981509782527635)}
{'slip': 0.19186854942965526, 'pose': (-1.6098892752502156, 0.4629706277629819)}
{'slip': 0.18406498572278526, 'pose': (-1.6321105819721589, 0.4660094085630533)}
{'slip': 0.17873076983352032, 'pose': (-1.6557373652928133, 0.4689924291717474)}
{'slip': 0.16986694912605152, 'pose': (-1.680605094396163, 0.4719014045436887)}
{'slip': 0.16809356560404812, 'pose': (-1.706661788199304, 0.47469201828112684)}
{'slip': 0.15856308227263058, 'pose': (-1.734049939843523, 0.47746624828773676)}
{'slip': 0.15648429465147323, 'pose': (-1.7620701925542368, 0.48004914266244375)}
{'slip': 0.15127137471934882, 'pose': (-1.7916761963036567, 0.4826523676314198)}
{'slip': 0.14467686106086944, 'pose': (-1.8215801337002402, 0.4850420369425185)}
{'slip': 0.14470927596093675, 'pose': (-1.8528684004128326, 0.4874293559792854)}
{'slip': 0.13595705100000888, 'pose': (-1.884680403487942, 0.4896413228772233)}
{'slip': 0.13640841499330822, 'pose': (-1.9173135295027066, 0.49180034574841586)}
